track_id_stable,Zach,Bryce,Maggie,Jamie,Featured Artist,Duration,Release Date,Popularity,Album,Artist,Song
Lookin' for LoveOld Dominion,100,,,,,210120,9/6/24 0:00,37,Odies But Goodies,Old Dominion,Lookin' for Love
Nonsense (with Coi Leray) - RemixSabrina Carpenter,,100,,,Coi Leray,175648,3/23/23 0:00,38,,Sabrina Carpenter,Nonsense (with Coi Leray) - Remix
You've Got The LoveFlorence + The Machine,,,100,,,168666,1/1/09 0:00,60,Lungs (Deluxe Edition),Florence + The Machine,You've Got The Love
Soak Up The SunSheryl Crow,,,,100,,292306,4/8/02 0:00,57,"C'Mon, C'Mon",Sheryl Crow,Soak Up The Sun
Edge of the EarthThe Beaches,99,,,,,160244,5/5/23 0:00,57,Blame My Ex,The Beaches,Edge of the Earth
White HorseChris Stapleton,42,99,,,,267893,7/21/23 0:00,72,Higher,Chris Stapleton,White Horse
Us Against the WorldPlay,,,99,,,222000,1/7/02 0:00,41,Us Against The World,Play,Us Against the World
The Black DogTaylor Swift,,,,99,,238857,4/19/24 0:00,68,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Taylor Swift,The Black Dog
ReligiouslyBailey Zimmerman,98,,,,,178723,1/11/23 0:00,73,Religiously. The Album.,Bailey Zimmerman,Religiously
"Check Yes, JulietWe The Kings",,98,,,,220146,10/7/07 0:00,66,We The Kings,We The Kings,"Check Yes, Juliet"
I Can See You (Taylor’s Version) (From The Vault)Taylor Swift,,,98,,,273186,7/7/23 0:00,67,Speak Now (Taylor's Version),Taylor Swift,I Can See You (Taylor’s Version) (From The Vault)
Bad BloodTrousdale,,,,98,,165764,3/31/23 0:00,32,Out Of My Mind,Trousdale,Bad Blood
EspressoSabrina Carpenter,97,,33,22,,175459,4/11/24 0:00,84,Short n' Sweet,Sabrina Carpenter,Espresso
J'me tireGIMS,,97,,,,249866,12/2/13 0:00,63,Subliminal (La face cachée),GIMS,J'me tire
Could You Be LovedBob Marley & The Wailers,,,97,,,237000,6/10/80 0:00,77,Uprising,Bob Marley & The Wailers,Could You Be Loved
All My LoveNoah Kahan,,,,97,,251510,10/14/22 0:00,73,Stick Season,Noah Kahan,All My Love
Dial Drunk (with Post Malone)Noah Kahan,96,,,,Post Malone,213817,7/18/23 0:00,74,Stick Season (Forever),Noah Kahan,Dial Drunk (with Post Malone)
ClementineYung Gravy,,96,,,,164410,5/10/24 0:00,40,Serving Country,Yung Gravy,Clementine
LandslideThe Chicks,,,96,,,230549,8/27/02 0:00,60,Home,The Chicks,Landslide
Ex-WivesSIX,,,,96,,350218,8/31/18 0:00,58,Six: The Musical (Studio Cast Recording),SIX,Ex-Wives
Hits DifferentTaylor Swift,95,,,,,234466,5/26/23 0:00,67,Midnights (The Til Dawn Edition),Taylor Swift,Hits Different
Powerful WomenPitbull,,95,,,Dolly Parton,165619,2/15/24 0:00,51,Trackhouse (Daytona 500 Edition),Pitbull,Powerful Women
If It Makes You HappySheryl Crow,,,95,,,323400,1/1/96 0:00,60,Sheryl Crow,Sheryl Crow,If It Makes You Happy
Don’t SmileSabrina Carpenter,,,,95,,206295,8/23/24 0:00,72,Short n' Sweet,Sabrina Carpenter,Don’t Smile
Snap Out Of ItArctic Monkeys,94,,,,,193030,9/9/13 0:00,73,AM,Arctic Monkeys,Snap Out Of It
RosesThe Chainsmokers,,94,,,ROZES,226738,6/16/15 0:00,73,,The Chainsmokers,Roses
Do You Believe in Magic?The Lovin' Spoonful,,,94,,,125826,11/1/65 0:00,60,Do you Believe In Magic,The Lovin' Spoonful,Do You Believe in Magic?
Silver LiningMt. Joy,,,,94,,199827,11/2/17 0:00,71,Mt. Joy,Mt. Joy,Silver Lining
The Craving (Jenna's version)Twenty One Pilots,93,,,,,174133,5/24/24 0:00,58,Clancy,Twenty One Pilots,The Craving (Jenna's version)
Superman (It's Not Easy)Five For Fighting,,93,,,,221693,9/26/00 0:00,62,America Town,Five For Fighting,Superman (It's Not Easy)
When Will I See You AgainThe Three Degrees,,,93,,,178746,1/1/73 0:00,55,The Three Degrees,The Three Degrees,When Will I See You Again
Baby Now That I've Found You - MonoThe Foundations,,,,93,,158266,1/1/67 0:00,52,Baby Now That I've Found You,The Foundations,Baby Now That I've Found You - Mono
SaturnSZA,92,,,,,186191,2/22/24 0:00,78,SOS Deluxe: LANA,SZA,Saturn
Don't Dream It's OverCrowded House,,92,,,,236933,1/1/86 0:00,76,Crowded House,Crowded House,Don't Dream It's Over
Bad Time - Remastered 2002Grand Funk Railroad,,,92,,,175360,12/1/74 0:00,42,All The Girls In The World Beware!!! (Remastered),Grand Funk Railroad,Bad Time - Remastered 2002
T-Shirt WeatherCirca Waves,,,,92,,192120,2/23/15 0:00,57,Young Chasers (Deluxe),Circa Waves,T-Shirt Weather
Me To MeMorgan Wallen,91,,,,,138958,3/3/23 0:00,58,One Thing At A Time,Morgan Wallen,Me To Me
My Own Worst EnemyLit,,91,,,,169026,2/22/99 0:00,69,A Place In The Sun,Lit,My Own Worst Enemy
After MidnightChappell Roan,,,91,,,204857,9/21/23 0:00,70,The Rise and Fall of a Midwest Princess,Chappell Roan,After Midnight
Smart IowaTrousdale,,,,91,,198671,7/21/23 0:00,25,Out Of My Mind,Trousdale,Smart Iowa
Ain’t How It EndsPost Malone,90,,,,,201961,8/16/24 0:00,56,F-1 Trillion: Long Bed,Post Malone,Ain’t How It Ends
OvertimeZach Bryan,,90,,,,190946,8/25/23 0:00,59,Zach Bryan,Zach Bryan,Overtime
Valerie (feat. Amy Winehouse) - Version RevisitedMark Ronson,,,90,,Amy Winehouse,219413,4/16/07 0:00,76,Version,Mark Ronson,Valerie (feat. Amy Winehouse) - Version Revisited
Real Love BabyFather John Misty,,,,90,,189293,7/26/16 0:00,73,,Father John Misty,Real Love Baby
Deeper WellKacey Musgraves,89,,,,,232133,3/15/24 0:00,61,Deeper Well,Kacey Musgraves,Deeper Well
Yeah! (feat. Lil Jon & Ludacris)USHER,,89,,,Lil Jon,250373,3/23/04 0:00,80,Confessions (Expanded Edition),USHER,Yeah! (feat. Lil Jon & Ludacris)
Ghost TownKanye West,,,89,,PARTYNEXTDOOR,271386,6/1/18 0:00,74,ye,Kanye West,Ghost Town
Cigarette DaydreamsCage The Elephant,,,69,89,,208760,10/8/13 0:00,75,Melophobia,Cage The Elephant,Cigarette Daydreams
SaraDarius Rucker,88,,,,,219866,10/6/23 0:00,24,Carolyn's Boy,Darius Rucker,Sara
screenHARDY,,88,,,,227951,1/20/23 0:00,41,the mockingbird & THE CROW,HARDY,screen
Forget You (feat. Gwyneth Paltrow)Glee Cast,,,88,,Gwyneth Paltrow,221360,11/26/10 0:00,44,"Glee: The Music, Volume 4",Glee Cast,Forget You (feat. Gwyneth Paltrow)
Slow BurnKacey Musgraves,,,,88,,246133,3/30/18 0:00,63,Golden Hour,Kacey Musgraves,Slow Burn
Backseat DriverKane Brown,87,,,,,228066,10/11/24 0:00,63,The High Road,Kane Brown,Backseat Driver
MontanaPierce Edens,,87,,,,309734,6/29/12 0:00,31,Pierce Edens,Pierce Edens,Montana
Keep the Customer SatisfiedSimon & Garfunkel,,,87,,,155373,1/26/70 0:00,42,Bridge Over Troubled Water,Simon & Garfunkel,Keep the Customer Satisfied
Close To YouGracie Abrams,,,,87,,225973,6/20/24 0:00,79,The Secret of Us,Gracie Abrams,Close To You
Goes Without Saying (Feat. Brad Paisley)Post Malone,86,,,,Brad Paisley,212353,8/15/24 0:00,57,F-1 Trillion,Post Malone,Goes Without Saying (Feat. Brad Paisley)
East Side of SorrowZach Bryan,,86,,,,209320,8/25/23 0:00,66,Zach Bryan,Zach Bryan,East Side of Sorrow
ShakeJesse McCartney,,,86,,,188560,9/12/10 0:00,38,,Jesse McCartney,Shake
Fair GameDayglow,,,,86,,262500,11/14/19 0:00,39,Fuzzybrain,Dayglow,Fair Game
Every Night Every MorningMaddie & Tae,85,,,,,198000,6/24/22 0:00,48,Through The Madness Vol. 2,Maddie & Tae,Every Night Every Morning
AmericanMacklemore,,85,,,,253640,1/5/10 0:00,32,,Macklemore,American
Tenth Avenue Freeze-OutBruce Springsteen,,,85,,,190466,8/25/75 0:00,47,Born To Run,Bruce Springsteen,Tenth Avenue Freeze-Out
Rolling in the DeepAdele,,,,85,,228093,1/17/11 0:00,73,21,Adele,Rolling in the Deep
II MOST WANTEDBeyoncé,84,,,,Miley Cyrus,208521,3/27/24 0:00,64,COWBOY CARTER,Beyoncé,II MOST WANTED
DoughKey Glock,,84,,,,198866,1/31/20 0:00,63,Yellow Tape,Key Glock,Dough
Rather Be (feat. Jess Glynne)Clean Bandit,,,84,,Jess Glynne,227833,1/17/14 0:00,68,New Eyes,Clean Bandit,Rather Be (feat. Jess Glynne)
Movie StarTrousdale,,,,84,,220212,4/27/23 0:00,34,Out Of My Mind,Trousdale,Movie Star
Whiskey On YouNate Smith,83,,,,,183786,5/6/22 0:00,68,NATE SMITH (DELUXE),Nate Smith,Whiskey On You
ResteGIMS,,83,,,Sting,231520,4/26/19 0:00,38,Ceinture noire (Transcendance),GIMS,Reste
Come Back...Be Here (Taylor's Version)Taylor Swift,,,83,,,223333,11/12/21 0:00,61,Red (Taylor's Version),Taylor Swift,Come Back...Be Here (Taylor's Version)
Blowing SmokeGracie Abrams,,,,83,,232280,6/20/24 0:00,69,The Secret of Us,Gracie Abrams,Blowing Smoke
TasteSabrina Carpenter,82,,,61,,157279,8/23/24 0:00,86,Short n' Sweet,Sabrina Carpenter,Taste
HAPPY HOUR (feat. Knox)HARDY,76,82,,,Knox,161352,7/12/24 0:00,47,Quit!!,HARDY,HAPPY HOUR (feat. Knox)
If I Can't Have YouYvonne Elliman,,,82,,,177960,11/15/77 0:00,57,Night Flight,Yvonne Elliman,If I Can't Have You
The KillMaggie Rogers,,,,82,,251600,4/12/24 0:00,56,Don't Forget Me,Maggie Rogers,The Kill
She Won't Be Lonely LongClay Walker,81,,,,,209253,6/8/10 0:00,63,She Won't Be Lonely Long,Clay Walker,She Won't Be Lonely Long
I'm Different2 Chainz,,81,,,,207040,1/1/12 0:00,53,Based On A T.R.U. Story (Deluxe),2 Chainz,I'm Different
This Is ItTrousdale,,,81,,,195157,7/16/21 0:00,27,,Trousdale,This Is It
CoincidenceSabrina Carpenter,,,,81,,164202,8/23/24 0:00,73,Short n' Sweet,Sabrina Carpenter,Coincidence
NumbLinkin Park,80,,,,,187520,3/25/03 0:00,82,Meteora,Linkin Park,Numb
DirtKey Glock,,80,,,,199293,2/22/23 0:00,44,Glockoma 2,Key Glock,Dirt
Rich GirlDaryl Hall & John Oates,,,80,,,142786,8/1/76 0:00,74,Bigger Than Both Of Us,Daryl Hall & John Oates,Rich Girl
I'll Be WaitingAdele,,,,80,,241351,1/24/11 0:00,47,21,Adele,I'll Be Waiting
You For A ReasonWarren Zeiders,79,,,,,183133,10/18/24 0:00,64,,Warren Zeiders,You For A Reason
emo girl (feat. WILLOW)mgk,,79,,,WILLOW,159096,3/25/22 0:00,58,mainstream sellout,mgk,emo girl (feat. WILLOW)
There She GoesThe La's,,,79,,,162186,1/1/90 0:00,70,The La's,The La's,There She Goes
SnowshoesCaamp,,,,79,,204560,6/24/22 0:00,60,Lavender Days,Caamp,Snowshoes
Right About YouPost Malone,78,,,,,183046,8/15/24 0:00,53,F-1 Trillion,Post Malone,Right About You
Mon coeur avait raison - Pilule bleueGIMS,,78,,,,242586,8/28/15 0:00,47,Mon coeur avait raison,GIMS,Mon coeur avait raison - Pilule bleue
Diet PepsiAddison Rae,,,78,,,169697,8/9/24 0:00,80,,Addison Rae,Diet Pepsi
Come Down SoonLizzy McAlpine,,,,78,,224960,4/5/24 0:00,48,Older,Lizzy McAlpine,Come Down Soon
She Got the Best of MeLuke Combs,77,,,,,183160,6/1/18 0:00,73,This One's for You Too (Deluxe Edition),Luke Combs,She Got the Best of Me
"Heaven, IowaFall Out Boy",,77,,,,236754,3/24/23 0:00,45,So Much (For) Stardust,Fall Out Boy,"Heaven, Iowa"
You're Sixteen (You’re Beautiful And You’re Mine)Ringo Starr,,,77,,,169693,1/1/73 0:00,44,Ringo,Ringo Starr,You're Sixteen (You’re Beautiful And You’re Mine)
You Could Start A CultNiall Horan,,,,77,,200497,6/9/23 0:00,49,The Show,Niall Horan,You Could Start A Cult
Die TryingKey Glock,,76,,,,153106,11/17/22 0:00,65,,Key Glock,Die Trying
There's Your TroubleThe Chicks,,,76,,,193064,1/27/98 0:00,58,Wide Open Spaces,The Chicks,There's Your Trouble
You Are the Best ThingRay LaMontagne,,,,76,,231840,10/13/08 0:00,63,Gossip In The Grain,Ray LaMontagne,You Are the Best Thing
World on FireNate Smith,75,,,,,189986,4/28/23 0:00,71,NATE SMITH (DELUXE),Nate Smith,World on Fire
TombéM. Pokora,,75,,,,233800,4/12/19 0:00,40,PYRAMIDE,M. Pokora,Tombé
SkateBruno Mars,,,75,,Anderson .Paak,203122,11/11/21 0:00,64,An Evening With Silk Sonic,Bruno Mars,Skate
Pink Pony ClubChappell Roan,,,11,75,,258034,4/23/22 0:00,83,The Rise and Fall of a Midwest Princess,Chappell Roan,Pink Pony Club
Pretty Little PoisonWarren Zeiders,74,,,,,218260,3/17/23 0:00,71,Pretty Little Poison,Warren Zeiders,Pretty Little Poison
Quittin' TimeZach Bryan,,74,,,,220885,7/15/22 0:00,62,,Zach Bryan,Quittin' Time
Grease - 2007 RemasterFrankie Valli,,,74,,,207306,1/1/78 0:00,61,Frankie Valli...Is The Word,Frankie Valli,Grease - 2007 Remaster
All Falls DownLizzy McAlpine,,,,74,,171840,4/5/24 0:00,52,Older,Lizzy McAlpine,All Falls Down
ChemicalPost Malone,73,,,,,184013,4/14/23 0:00,71,The Diamond Collection (Deluxe),Post Malone,Chemical
Iowa WhoreYung Buttpiss,,73,,,,159408,8/16/22 0:00,2,Baby Brains,Yung Buttpiss,Iowa Whore
BURN¥$,,,73,,Kanye West,111477,2/9/24 0:00,63,VULTURES 1,¥$,BURN
You Go Down SmoothLake Street Dive,,,,73,,209400,2/18/14 0:00,48,Bad Self Portraits,Lake Street Dive,You Go Down Smooth
If I'm HonestTrousdale,72,,,12,,162701,8/18/23 0:00,44,Out Of My Mind,Trousdale,If I'm Honest
One Last BreathCreed,,72,,,,238240,1/1/01 0:00,77,Weathered,Creed,One Last Breath
Last Train HomeJohn Mayer,,,72,,,187306,7/16/21 0:00,56,Sob Rock,John Mayer,Last Train Home
PoemsCouch,,,,72,,189135,9/23/22 0:00,40,,Couch,Poems
The Hardest PartOlivia Dean,71,,,,,176048,8/7/20 0:00,67,Messy,Olivia Dean,The Hardest Part
Friday - Rebecca's Black & White RemixFlo Rida,,71,,,,155624,8/23/24 0:00,25,,Flo Rida,Friday - Rebecca's Black & White Remix
"I Can't Help Myself (Sugar Pie, Honey Bunch)Four Tops",,,71,,,160280,1/1/65 0:00,69,Four Tops - Second Album,Four Tops,"I Can't Help Myself (Sugar Pie, Honey Bunch)"
It Was Coming All AlongMaggie Rogers,,,,71,,207280,4/12/24 0:00,46,Don't Forget Me,Maggie Rogers,It Was Coming All Along
The Emptiness MachineLinkin Park,70,,,,,190427,9/5/24 0:00,78,From Zero,Linkin Park,The Emptiness Machine
Tout au bout du mondeTibz,,70,,,,178573,10/25/19 0:00,14,,Tibz,Tout au bout du monde
SanteriaSublime,,,70,,,182746,7/30/96 0:00,75,Sublime,Sublime,Santeria
I KIND OF RELATEDrake Bell,,,,70,,257118,3/18/24 0:00,31,Non Stop Flight,Drake Bell,I KIND OF RELATE
LavishTwenty One Pilots,69,,,,,158866,5/24/24 0:00,60,Clancy,Twenty One Pilots,Lavish
ay! (feat. Lil Wayne)mgk,,69,,,Lil Wayne,124188,3/25/22 0:00,57,mainstream sellout,mgk,ay! (feat. Lil Wayne)
HighroadSir Woman,,,,69,,230249,6/11/19 0:00,54,,Sir Woman,Highroad
Too Good to be TrueKacey Musgraves,68,,,,,160053,3/15/24 0:00,55,Deeper Well,Kacey Musgraves,Too Good to be True
No Role ModelzJ. Cole,,68,,,,292799,12/9/14 0:00,81,2014 Forest Hills Drive,J. Cole,No Role Modelz
How Do You Sleep? - Radio Edit RemixJesse McCartney,,,68,,Ludacris,208333,1/1/08 0:00,47,Departure - Recharged,Jesse McCartney,How Do You Sleep? - Radio Edit Remix
so americanOlivia Rodrigo,,,,68,,169717,3/22/24 0:00,71,GUTS (spilled),Olivia Rodrigo,so american
Girl On FireKameron Marlowe,67,63,,,,173706,6/10/22 0:00,53,We Were Cowboys,Kameron Marlowe,Girl On Fire
We Didn’t Start The Fire (Bonus Track)Fall Out Boy,,67,,,,215530,3/24/23 0:00,54,So Much (For) Stardust,Fall Out Boy,We Didn’t Start The Fire (Bonus Track)
Brandy (You're a Fine Girl)Looking Glass,,,67,,,186826,1/1/72 0:00,72,Looking Glass,Looking Glass,Brandy (You're a Fine Girl)
You Know ItColony House,,,,67,,182266,6/24/16 0:00,51,Only The Lonely,Colony House,You Know It
What You've Been ThroughBRELAND,66,,,,,168637,10/18/24 0:00,20,,BRELAND,What You've Been Through
I'm Just Ken (From Barbie The Album)Ryan Gosling,,66,,,,222633,7/21/23 0:00,50,,Ryan Gosling,I'm Just Ken (From Barbie The Album)
Have A Nice DayStereophonics,,,66,,,205066,1/1/01 0:00,59,Just Enough Education To Perform,Stereophonics,Have A Nice Day
Stubborn LoveThe Lumineers,,,,66,,279000,4/3/12 0:00,72,The Lumineers,The Lumineers,Stubborn Love
RiskGracie Abrams,65,49,,46,,191586,6/20/24 0:00,76,The Secret of Us,Gracie Abrams,Risk
ForeverDrake,,65,,,Kanye West,357706,1/1/09 0:00,71,Relapse: Refill,Drake,Forever
augustTaylor Swift,,,65,,,261922,7/24/20 0:00,78,folklore,Taylor Swift,august
L.A.Couch,,,,65,,189470,11/3/23 0:00,35,,Couch,L.A.
She Calls Me Back (with Kacey Musgraves)Noah Kahan,64,,,,Kacey Musgraves,243962,10/6/23 0:00,65,Stick Season (Forever),Noah Kahan,She Calls Me Back (with Kacey Musgraves)
Love in This Club (feat. Young Jeezy)USHER,,64,55,,Jeezy,259720,5/27/08 0:00,69,Here I Stand,USHER,Love in This Club (feat. Young Jeezy)
BODYGUARDBeyoncé,,,64,,,240254,3/27/24 0:00,66,COWBOY CARTER,Beyoncé,BODYGUARD
One And OnlyAdele,,,,64,,348226,1/24/11 0:00,61,21,Adele,One And Only
OvercompensateTwenty One Pilots,63,,,,,236000,2/29/24 0:00,65,Clancy,Twenty One Pilots,Overcompensate
AlaskaMaggie Rogers,,,63,,,188000,2/16/17 0:00,65,Heard It In A Past Life,Maggie Rogers,Alaska
Felt Good About YouGracie Abrams,,,,63,,164693,6/20/24 0:00,60,The Secret of Us,Gracie Abrams,Felt Good About You
Same Work (feat. The War And Treaty)BRELAND,62,,,,The War And Treaty,170645,10/18/24 0:00,26,,BRELAND,Same Work (feat. The War And Treaty)
Wonderwall - RemasteredOasis,,62,,,,258773,1/1/95 0:00,74,(What's The Story) Morning Glory? (Deluxe Remastered Edition),Oasis,Wonderwall - Remastered
Gimme ShelterThe Rolling Stones,,,62,,,270773,12/5/69 0:00,71,Let It Bleed,The Rolling Stones,Gimme Shelter
Red Wine SupernovaChappell Roan,,,,62,,192720,5/17/23 0:00,80,The Rise and Fall of a Midwest Princess,Chappell Roan,Red Wine Supernova
Had It AllGabby Barrett,61,,,,,227440,2/2/24 0:00,22,Chapter & Verse,Gabby Barrett,Had It All
Miss That GirlERNEST,,61,,,,137850,12/16/22 0:00,42,FLOWER SHOPS (THE ALBUM): Two Dozen Roses,ERNEST,Miss That Girl
I Love The Nightlife (Disco 'Round)Alicia Bridges,,,61,,,187973,1/1/78 0:00,46,I Love The Nightlife,Alicia Bridges,I Love The Nightlife (Disco 'Round)
Memory LaneOld Dominion,60,,,,,172480,1/5/23 0:00,66,Memory Lane,Old Dominion,Memory Lane
Safe and SoundCapital Cities,,60,,,,192789,6/4/13 0:00,79,In A Tidal Wave of Mystery,Capital Cities,Safe and Sound
HoudiniDua Lipa,,,60,,,185917,11/9/23 0:00,79,Radical Optimism,Dua Lipa,Houdini
My WayFrank Sinatra,,,,60,,276800,3/1/69 0:00,69,My Way (Expanded Edition),Frank Sinatra,My Way
DoubtTwenty One Pilots,59,,,,,191493,5/15/15 0:00,68,Blurryface,Twenty One Pilots,Doubt
Open the GateZach Bryan,,59,,,,234771,5/6/22 0:00,69,American Heartbreak,Zach Bryan,Open the Gate
SedonaHoundmouth,,,59,,,239881,3/17/15 0:00,61,Little Neon Limelight,Houndmouth,Sedona
Let It HappenGracie Abrams,,,,59,,260946,6/20/24 0:00,65,The Secret of Us,Gracie Abrams,Let It Happen
The Age of Worry - Live at Electric LadyYebba,58,,,,,227880,1/25/22 0:00,35,,Yebba,The Age of Worry - Live at Electric Lady
Friday NightEric Paslay,,58,,,,167213,1/1/14 0:00,52,Eric Paslay,Eric Paslay,Friday Night
greedyTate McRae,,,58,,,131872,9/15/23 0:00,81,THINK LATER,Tate McRae,greedy
U SmileJustin Bieber,,,,58,,196906,1/1/10 0:00,57,My World 2.0,Justin Bieber,U Smile
Ain't No Love In Oklahoma (From Twisters: The Album)Luke Combs,57,,,,,210950,5/16/24 0:00,78,,Luke Combs,Ain't No Love In Oklahoma (From Twisters: The Album)
Gang Shit No Lame ShitKey Glock,,57,,,,131600,11/23/18 0:00,66,Glockoma,Key Glock,Gang Shit No Lame Shit
us. (feat. Taylor Swift)Gracie Abrams,,,57,26,Taylor Swift,242666,6/20/24 0:00,75,The Secret of Us,Gracie Abrams,us. (feat. Taylor Swift)
Junior VarsityDayglow,,,,57,,252400,11/14/19 0:00,38,Fuzzybrain,Dayglow,Junior Varsity
Love MyselfHailee Steinfeld,56,,,,,218773,2/26/16 0:00,64,,Hailee Steinfeld,Love Myself
my ex's best friend (with blackbear)mgk,,56,,,blackbear,139460,9/25/20 0:00,67,Tickets To My Downfall,mgk,my ex's best friend (with blackbear)
Rhinestone CowboyGlen Campbell,,,56,,,194453,1/1/75 0:00,61,Rhinestone Cowboy (Expanded Edition),Glen Campbell,Rhinestone Cowboy
Guy I Used To BeLawrence,,,,56,,227200,4/5/24 0:00,39,Family Business,Lawrence,Guy I Used To Be
Midwest IndigoTwenty One Pilots,55,,,,,196266,5/24/24 0:00,64,Clancy,Twenty One Pilots,Midwest Indigo
